ID,Name_recipe
144951,"Торт-мороженое ""Семифредо"" с безе"
50670,Семифредо с медом и фруктами
146199,"Мороженое ""Семифредо"" (итальянский десерт)"
127294,Семифредо с ягодным соусом
146434,"Домашнее апельсиновое мороженое ""Семифредо"""
135911,Семифредо (итальянское мороженое) с вишней и шоколадом
146274,"Домашнее мороженое ""Семифредо"" с нугой"
138658,Ягодный торт-семифредо с теплым шоколадным соусом
ID,Name_recipe
137595,"Стрелки чеснока со свининой, по-китайски"
136002,Маринованный салат из огурцов с морковью и чесноком
140702,Маринованный чеснок с крыжовником
94940,Стрелки чеснока маринованные
140701,Маринованный чеснок со свеклой
142073,Чеснок маринованный
ID,Name_recipe
152353,Солянка из капусты с копчёной колбасой и оливками
134959,Солянка из капусты с говядиной
155122,Солянка из квашеной капусты с черносливом
90032,Солянка из квашеной капусты и мяса
